,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings"
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,Low_B,0.95,201.8
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,High_C,0.95,204.6
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,Low_C,0.95,209.5
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,High_D,0.95,219.1
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,Low_D,0.95,231.4
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,High_E,0.95,250.9
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,Low_E,0.95,273.7
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,High_F,0.95,306.6
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,Low_F,0.95,343.4
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,High_G,0.95,393.8
"External / Internal Wall Insulation",EWI_solid_1.7_0.3,N/A,73-97,Low_G,0.95,448.7
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,High_B,0.95,155
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,Low_B,0.95,155.2
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,High_C,0.95,157.5
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,Low_C,0.95,161.5
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,High_D,0.95,169.2
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,Low_D,0.95,179
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,High_E,0.95,194.5
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,Low_E,0.95,212.6
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,High_F,0.95,238.7
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,Low_F,0.95,267.8
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,High_G,0.95,307.6
"External / Internal Wall Insulation",EWI_solid_1.7_0.6,N/A,73-97,Low_G,0.95,350.9
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,High_B,0.95,78.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,Low_B,0.95,78.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,High_C,0.95,79.7
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,Low_C,0.95,81.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,High_D,0.95,85.3
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,Low_D,0.95,90.1
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,High_E,0.95,97.7
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,Low_E,0.95,106.7
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,High_F,0.95,119.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,Low_F,0.95,134.1
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,High_G,0.95,153.9
"External / Internal Wall Insulation",EWI_solid_1.0_0.45,N/A,73-97,Low_G,0.95,175.5
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,High_B,0.95,101.2
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,Low_B,0.95,101.1
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,High_C,0.95,102.4
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,Low_C,0.95,104.8
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,High_D,0.95,109.5
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,Low_D,0.95,115.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,High_E,0.95,125.2
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,Low_E,0.95,136.5
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,High_F,0.95,153
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,Low_F,0.95,171.3
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,High_G,0.95,196.5
"External / Internal Wall Insulation",EWI_solid_1.0_0.3,N/A,73-97,Low_G,0.95,223.9
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,High_B,0.95,56.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,Low_B,0.95,56.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,High_C,0.95,57.4
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,Low_C,0.95,58.8
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,High_D,0.95,61.5
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,Low_D,0.95,65.1
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,High_E,0.95,70.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,Low_E,0.95,77.2
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,High_F,0.95,86.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,Low_F,0.95,97.1
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,High_G,0.95,111.6
"External / Internal Wall Insulation",EWI_solid_1.0_0.6,N/A,73-97,Low_G,0.95,127.3
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,High_B,0.95,52.6
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,Low_B,0.95,52.5
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,High_C,0.95,53
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,Low_C,0.95,54.2
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,High_D,0.95,56.5
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,Low_D,0.95,59.5
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,High_E,0.95,64.4
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,Low_E,0.95,70.1
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,High_F,0.95,78.5
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,Low_F,0.95,87.8
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,High_G,0.95,100.6
"External / Internal Wall Insulation",EWI_solid_0.6_0.24,N/A,73-97,Low_G,0.95,114.7
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,High_B,0.95,43.6
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,Low_B,0.95,43.5
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,High_C,0.95,44
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,Low_C,0.95,45
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,High_D,0.95,46.9
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,Low_D,0.95,49.5
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,High_E,0.95,53.5
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,Low_E,0.95,58.3
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,High_F,0.95,65.3
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,Low_F,0.95,73.1
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,High_G,0.95,83.8
"External / Internal Wall Insulation",EWI_solid_0.6_0.3,N/A,73-97,Low_G,0.95,95.5
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,High_B,0.95,35.5
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,Low_B,0.95,35.3
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,High_C,0.95,35.6
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,Low_C,0.95,36.3
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,High_D,0.95,37.8
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,Low_D,0.95,39.7
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,High_E,0.95,42.9
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,Low_E,0.95,46.6
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,High_F,0.95,52.1
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,Low_F,0.95,58.3
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,High_G,0.95,66.8
"External / Internal Wall Insulation",EWI_solid_0.45_0.21,N/A,73-97,Low_G,0.95,76.1
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,High_B,0.95,195.3
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,Low_B,0.95,196.1
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,High_C,0.95,199.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,Low_C,0.95,205.2
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,High_D,0.95,215.5
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,Low_D,0.95,228.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,High_E,0.95,248.5
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,Low_E,0.95,271.6
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,High_F,0.95,304.9
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,Low_F,0.95,341.8
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,High_G,0.95,392.1
"External / Internal Wall Insulation",EWI_solid_2.0_0.6,N/A,73-97,Low_G,0.95,446.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,High_B,0.95,234.6
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,Low_B,0.95,235.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,High_C,0.95,239.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,Low_C,0.95,245.8
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,High_D,0.95,257.8
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,Low_D,0.95,272.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,High_E,0.95,296.2
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,Low_E,0.95,323.3
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,High_F,0.95,362.3
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,Low_F,0.95,405.6
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,High_G,0.95,464.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.35,N/A,73-97,Low_G,0.95,528.9
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,High_B,0.95,250.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,Low_B,0.95,251.5
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,High_C,0.95,255.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,Low_C,0.95,262.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,High_D,0.95,275.1
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,Low_D,0.95,290.9
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,High_E,0.95,315.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,Low_E,0.95,344.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,High_F,0.95,385.7
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,Low_F,0.95,431.6
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,High_G,0.95,494.2
"External / Internal Wall Insulation",EWI_solid_2.0_0.25,N/A,73-97,Low_G,0.95,562.3
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,High_B,0.95,242.6
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,Low_B,0.95,243.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,High_C,0.95,247.5
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,Low_C,0.95,254.1
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,High_D,0.95,266.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,Low_D,0.95,281.8
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,High_E,0.95,305.9
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,Low_E,0.95,333.8
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,High_F,0.95,373.9
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,Low_F,0.95,418.6
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,High_G,0.95,479.4
"External / Internal Wall Insulation",EWI_solid_2.0_0.3,N/A,73-97,Low_G,0.95,545.5
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,High_D,0.95,177.4
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,Low_D,0.95,187.6
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,High_E,0.95,203.8
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,Low_E,0.95,222.6
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,High_F,0.95,249.9
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,Low_F,0.95,280.2
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,High_G,0.95,321.8
"External / Internal Wall Insulation",EWI_cavity_1.7_0.55,N/A,73-97,Low_G,0.95,367.1
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,High_D,0.95,231.1
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,Low_D,0.95,243.9
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,High_E,0.95,264.4
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,Low_E,0.95,288.2
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,High_F,0.95,322.8
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,Low_F,0.95,361.3
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,High_G,0.95,414.2
"External / Internal Wall Insulation",EWI_cavity_1.7_0.23,N/A,73-97,Low_G,0.95,471.7
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,High_D,0.95,219.1
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,Low_D,0.95,231.4
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,High_E,0.95,250.9
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,Low_E,0.95,273.7
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,High_F,0.95,306.6
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,Low_F,0.95,343.4
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,High_G,0.95,393.8
"External / Internal Wall Insulation",EWI_cavity_1.7_0.3,N/A,73-97,Low_G,0.95,448.7
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,High_D,0.95,169.2
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,Low_D,0.95,179
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,High_E,0.95,194.5
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,Low_E,0.95,212.6
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,High_F,0.95,238.7
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,Low_F,0.95,267.8
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,High_G,0.95,307.6
"External / Internal Wall Insulation",EWI_cavity_1.7_0.6,N/A,73-97,Low_G,0.95,350.9
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,High_D,0.95,85.3
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,Low_D,0.95,90.1
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,High_E,0.95,97.7
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,Low_E,0.95,106.7
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,High_F,0.95,119.6
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,Low_F,0.95,134.1
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,High_G,0.95,153.9
"External / Internal Wall Insulation",EWI_cavity_1.0_0.45,N/A,73-97,Low_G,0.95,175.5
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,High_D,0.95,109.5
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,Low_D,0.95,115.6
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,High_E,0.95,125.2
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,Low_E,0.95,136.5
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,High_F,0.95,153
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,Low_F,0.95,171.3
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,High_G,0.95,196.5
"External / Internal Wall Insulation",EWI_cavity_1.0_0.3,N/A,73-97,Low_G,0.95,223.9
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,High_D,0.95,61.5
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,Low_D,0.95,65.1
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,High_E,0.95,70.6
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,Low_E,0.95,77.2
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,High_F,0.95,86.6
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,Low_F,0.95,97.1
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,High_G,0.95,111.6
"External / Internal Wall Insulation",EWI_cavity_1.0_0.6,N/A,73-97,Low_G,0.95,127.3
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,High_D,0.95,56.5
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,Low_D,0.95,59.5
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,High_E,0.95,64.4
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,Low_E,0.95,70.1
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,High_F,0.95,78.5
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,Low_F,0.95,87.8
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,High_G,0.95,100.6
"External / Internal Wall Insulation",EWI_cavity_0.6_0.24,N/A,73-97,Low_G,0.95,114.7
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,High_D,0.95,46.9
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,Low_D,0.95,49.5
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,High_E,0.95,53.5
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,Low_E,0.95,58.3
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,High_F,0.95,65.3
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,Low_F,0.95,73.1
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,High_G,0.95,83.8
"External / Internal Wall Insulation",EWI_cavity_0.6_0.3,N/A,73-97,Low_G,0.95,95.5
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,High_D,0.95,37.8
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,Low_D,0.95,39.7
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,High_E,0.95,42.9
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,Low_E,0.95,46.6
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,High_F,0.95,52.1
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,Low_F,0.95,58.3
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,High_G,0.95,66.8
"External / Internal Wall Insulation",EWI_cavity_0.45_0.21,N/A,73-97,Low_G,0.95,76.1
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,High_D,0.95,215.5
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,Low_D,0.95,228.4
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,High_E,0.95,248.5
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,Low_E,0.95,271.6
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,High_F,0.95,304.9
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,Low_F,0.95,341.8
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,High_G,0.95,392.1
"External / Internal Wall Insulation",EWI_cavity_2.0_0.6,N/A,73-97,Low_G,0.95,446.7
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,High_D,0.95,257.8
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,Low_D,0.95,272.7
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,High_E,0.95,296.2
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,Low_E,0.95,323.3
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,High_F,0.95,362.3
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,Low_F,0.95,405.6
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,High_G,0.95,464.7
"External / Internal Wall Insulation",EWI_cavity_2.0_0.35,N/A,73-97,Low_G,0.95,528.9
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,High_D,0.95,275.1
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,Low_D,0.95,290.9
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,High_E,0.95,315.7
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,Low_E,0.95,344.4
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,High_F,0.95,385.7
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,Low_F,0.95,431.6
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,High_G,0.95,494.2
"External / Internal Wall Insulation",EWI_cavity_2.0_0.25,N/A,73-97,Low_G,0.95,562.3
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,High_D,0.95,266.4
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,Low_D,0.95,281.8
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,High_E,0.95,305.9
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,Low_E,0.95,333.8
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,High_F,0.95,373.9
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,Low_F,0.95,418.6
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,High_G,0.95,479.4
"External / Internal Wall Insulation",EWI_cavity_2.0_0.3,N/A,73-97,Low_G,0.95,545.5
"External / Internal Wall Insulation",IWI_cavity_1.7_0.55,N/A,73-97,High_D,0.95,177.4
"External / Internal Wall Insulation",IWI_cavity_1.7_0.55,N/A,73-97,Low_D,0.95,187.6
